Nº;Nº CONTENEDOR;PAIS;FECHA LLEGADA;BODEGA;HORA INICIO;HORA FINAL;PERSONAL;TIEMPO DE DESCARGA;COSTO X PERSONA;COSTO TOTAL;MINUTOD POR PERSONA;SEMANA
1;FR5987/FORTUNE;USA;4/1/2026;PRINCIPAL;07:01;09:21;3;02:20;L226.55;L679.66;47;SEM-14
2;FVS2026-53;CHINA;4/1/2026;PRINCIPAL;07:04;11:32;6;04:28;L433.69;L2,602.12;45;SEM-14
3;FVS2026-33;CHINA;4/1/2026;EXTERNA;09:08;12:18;5;03:10;L307.46;L1,537.32;38;SEM-14
4;FVS2026-34;CHINA;4/1/2026;PRINCIPAL;12:42;16:15;5;03:33;L344.68;L1,723.42;43;SEM-14
5;FVS2026-48;CHINA;4/1/2026;PRINCIPAL;16:37;18:06;11;01:29;L144.02;L1,584.25;8;SEM-14
6;LATAM-9;CHINA;4/1/2026;PRINCIPAL;18:16;19:26;11;01:10;L113.28;L1,246.04;6;SEM-14
7;ANDREA-2;CHINA;4/7/2026;PRINCIPAL;07:11;09:56;7;02:45;L267.01;L1,869.06;24;SEM-15
8;ED-12-26;CHINA;4/7/2026;EXTERNA;08:25;11:24;6;02:59;L289.66;L1,737.98;30;SEM-15
9;LATAM-6;CHINA;4/7/2026;PRINCIPAL;10:13;13:42;6;03:29;L338.21;L2,029.26;35;SEM-15
10;LATAM-7;CHINA;4/7/2026;PRINCIPAL;14:24;16:52;6;02:28;L239.50;L1,436.99;25;SEM-15
11;EE1940;PANAMA;4/8/2026;PRINCIPAL;09:19;15:32;5;06:13;L603.60;L3,018.01;75;SEM-15
12;ES2730;PANAMA;4/9/2026;PRINCIPAL;01:20;05:32;7;04:12;L407.79;L2,854.56;36;SEM-15
13;BA9902;PANAMA;4/10/2026;PRINCIPAL;13:25;18:18;7;04:53;L474.14;L3,319.00;42;SEM-15
14;SMLU8505784;CHINA;4/11/2026;PRINCIPAL;07:49;11:17;8;03:28;L336.59;L2,692.74;26;SEM-15
15;BX5822;PANAMA;4/11/2026;PRINCIPAL;13:54;16:45;10;02:51;L276.72;L2,767.18;17;SEM-15
16;DF5895;PANAMA;4/12/2026;PRINCIPAL;08:06;13:28;6;05:22;L521.07;L3,126.43;54;SEM-16
17;FVS2026-71;CHINA;4/16/2026;PRINCIPAL;07:18;10:20;6;03:02;L294.52;L1,767.11;30;SEM-16
18;GY-HN91-2553/TINTES 2;CHINA;4/16/2026;PRINCIPAL;10:40;16:07;6;05:27;L529.16;L3,174.97;55;SEM-16
19;FVS2026-72;CHINA;4/17/2026;PRINCIPAL;06:20;07:24;16;01:04;L103.57;L1,657.07;4;SEM-16
20;BA7081;PANAMA;4/18/2026;PRINCIPAL;09:30;14:19;7;04:49;L467.67;L3,273.69;41;SEM-16
21;798726;PANAMA;4/18/2026;PRINCIPAL;14:30;18:16;8;03:46;L365.72;L2,925.77;28;SEM-16
22;PAÑAL-1;CHINA;4/26/2026;EXTERNA;07:41;11:00;10;03:19;L322.03;L3,220.28;20;SEM-18
23;PAÑAL-2;CHINA;4/26/2026;EXTERNA;11:59;14:51;10;02:52;L278.34;L2,783.36;17;SEM-18
24;810188;PANAMA;4/29/2026;PRINCIPAL;07:25;12:15;6;04:50;L469.29;L2,815.73;48;SEM-18
25;796252;PANAMA;4/29/2026;PRINCIPAL;12:52;16:57;6;04:05;L396.47;L2,378.80;41;SEM-18
26;STBJ202601-CREMAS;CHINA;4/29/2026;PRINCIPAL;14:02;17:01;6;02:59;L289.66;L1,737.98;30;SEM-18
27;BX9878;PANAMA;4/30/2026;PRINCIPAL;07:59;11:39;6;03:40;L356.01;L2,136.07;37;SEM-18
